[2025-04-27 17:00:27] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 17:15:17] Cuenta: 1000 | Operación: Depósito | Monto: 3000.00 | Saldo final: 7000.00
[2025-05-18 17:15:32] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 10000.00
[2025-05-18 17:16:17] Cuenta: 1005 | Operación: Depósito | Monto: 5000.00 | Saldo final: 10000.00
[2025-05-18 17:16:57] Cuenta: 1005 | Operación: Retiro | Monto: 2000.00 | Saldo final: 8000.00
[2025-05-18 17:17:14] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 15000.00
[2025-05-18 17:17:53] Cuenta: 1000 | Operación: Retiro | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 17:18:36] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 1000.00 | Saldo final: 7000.00
[2025-05-18 17:18:36] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 1000.00 | Saldo final: 7000.00
[2025-05-18 17:28:56] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 5000.00
[2025-05-18 17:30:01] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-18 17:30:37] Cuenta: 1005 | Operación: Retiro | Monto: 4000.00 | Saldo final: 1000.00
[2025-05-18 17:30:49] Cuenta: 1000 | Operación: Depósito | Monto: 5000.00 | Saldo final: 10000.00
[2025-05-18 17:31:07] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 8000.00
[2025-05-18 17:32:03] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 500.00 | Saldo final: 500.00
[2025-05-18 17:32:03] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 500.00 | Saldo final: 10500.00
[2025-05-19 12:29:03] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 11500.00
[2025-05-19 12:30:28] Cuenta: 1000 | Operación: Retiro | Monto: 2000.00 | Saldo final: 9500.00
[2025-05-19 12:33:36] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 13000.00
[2025-05-19 12:34:25] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 500.00 | Saldo final: 0.00
[2025-05-19 12:34:25] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 500.00 | Saldo final: 10000.00
[2025-05-19 12:47:00] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 11000.00
[2025-05-19 12:47:47] Cuenta: 1000 | Operación: Retiro | Monto: 2000.00 | Saldo final: 9000.00
[2025-05-19 12:49:03] Cuenta: 1001 | Operación: Depósito | Monto: 3000.00 | Saldo final: 16000.00
[2025-05-19 16:18:18] Cuenta: 1000 | Operación: Depósito | Monto: 4000.00 | Saldo final: 13000.00
[2025-05-19 16:19:13] Cuenta: 1001 | Operación: Retiro | Monto: 1000.00 | Saldo final: 15000.00
[2025-05-19 16:20:33] Cuenta: 1001 | Operación: Transferencia realizada | Monto: 3000.00 | Saldo final: 12000.00
[2025-05-19 16:20:33] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 3000.00 | Saldo final: 16000.00
[2025-05-19 16:55:30] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 17000.00
[2025-05-19 16:56:22] Cuenta: 1001 | Operación: Retiro | Monto: 4000.00 | Saldo final: 8000.00
[2025-05-19 16:58:09] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 6000.00
[2025-05-19 17:13:22] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 18000.00
[2025-05-19 17:13:47] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 11000.00
[2025-05-19 17:22:27] Cuenta: 1000 | Operación: Depósito | Monto: 5000.00 | Saldo final: 23000.00
[2025-05-19 17:22:50] Cuenta: 1000 | Operación: Depósito | Monto: 2000.00 | Saldo final: 25000.00
[2025-05-19 17:23:12] Cuenta: 1005 | Operación: Depósito | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:24:25] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:24:25] Cuenta: 1005 | Operación: Transferencia recibida | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:28:22] Cuenta: 1000 | Operación: Depósito | Monto: 3000.00 | Saldo final: 28000.00
[2025-05-19 17:28:49] Cuenta: 1001 | Operación: Depósito | Monto: 5000.00 | Saldo final: 16000.00
[2025-05-19 17:30:29] Cuenta: 1001 | Operación: Depósito | Monto: 1.00 | Saldo final: 16001.00
[2025-05-19 17:30:51] Cuenta: 1001 | Operación: Depósito | Monto: 100.00 | Saldo final: 16101.00
[2025-05-19 17:31:21] Cuenta: 1001 | Operación: Depósito | Monto: 1000.00 | Saldo final: 17101.00
[2025-05-19 17:31:42] Cuenta: 1001 | Operación: Depósito | Monto: 100.00 | Saldo final: 17201.00
[2025-05-19 17:32:26] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 15201.00
[2025-05-19 17:32:47] Cuenta: 1001 | Operación: Depósito | Monto: 800.00 | Saldo final: 16001.00
[2025-05-19 17:33:09] Cuenta: 1001 | Operación: Depósito | Monto: 900.00 | Saldo final: 16901.00
[2025-05-19 17:33:42] Cuenta: 1001 | Operación: Depósito | Monto: 400.00 | Saldo final: 17301.00
[2025-05-19 17:34:04] Cuenta: 1001 | Operación: Depósito | Monto: 100.00 | Saldo final: 17401.00
[2025-05-19 17:34:26] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 29000.00
[2025-05-19 17:34:44] Cuenta: 1001 | Operación: Depósito | Monto: 1000.00 | Saldo final: 18401.00
[2025-05-19 17:38:14] Cuenta: 1000 | Operación: Depósito | Monto: 10.00 | Saldo final: 29010.00
[2025-05-19 17:39:36] Cuenta: 1001 | Operación: Retiro | Monto: 1.00 | Saldo final: 18400.00
[2025-05-19 17:39:58] Cuenta: 1001 | Operación: Depósito | Monto: 3.00 | Saldo final: 18403.00
[2025-05-19 17:40:26] Cuenta: 1001 | Operación: Depósito | Monto: 10.00 | Saldo final: 18413.00
[2025-05-19 17:41:50] Cuenta: 1000 | Operación: Transferencia realizada | Monto: 7.00 | Saldo final: 29003.00
[2025-05-19 17:41:50] Cuenta: 1005 | Operación: Transferencia recibida | Monto: 7.00 | Saldo final: 5007.00
[2025-05-19 17:42:16] Cuenta: 1001 | Operación: Depósito | Monto: 23.00 | Saldo final: 18436.00
[2025-05-19 17:42:50] Cuenta: 1000 | Operación: Retiro | Monto: 8.00 | Saldo final: 28995.00
[2025-05-19 17:46:00] Cuenta: 1000 | Operación: Depósito | Monto: 3500.00 | Saldo final: 32495.00
[2025-05-19 17:51:25] Cuenta: 1000 | Operación: Retiro | Monto: 2550.00 | Saldo final: 29945.00
[2025-05-19 17:55:17] Cuenta: 1005 | Operación: Depósito | Monto: 1450.00 | Saldo final: 6457.00
[2025-05-19 18:09:16] Cuenta: 1005 | Operación: Depósito | Monto: 450.00 | Saldo final: 5457.00
[2025-05-19 18:15:10] Cuenta: 1005 | Operación: Depósito | Monto: 300.00 | Saldo final: 5307.00
[2025-05-19 18:21:28] Cuenta: 1005 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6007.00
[2025-05-19 18:23:22] Cuenta: 1005 | Operación: Retiro | Monto: 7.00 | Saldo final: 6000.00
[2025-05-19 18:26:24] Cuenta: 1005 | Operación: Retiro | Monto: 5.00 | Saldo final: 5995.00
[2025-05-19 18:27:55] Cuenta: 1005 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6995.00
[2025-05-19 18:28:15] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 6996.00
[2025-05-19 18:29:09] Cuenta: 1000 | Operación: Depósito | Monto: 2.00 | Saldo final: 29947.00
[2025-05-19 18:29:31] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 6997.00
[2025-05-19 18:29:50] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29948.00
[2025-05-19 18:30:03] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 6998.00
[2025-05-19 18:30:42] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 6999.00
[2025-05-19 18:31:02] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29949.00
[2025-05-19 18:31:08] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7000.00
[2025-05-19 18:31:27] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29950.00
[2025-05-19 18:31:48] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7001.00
[2025-05-19 18:33:56] Cuenta: 1000 | Operación: Retiro | Monto: 1.00 | Saldo final: 29949.00
[2025-05-19 18:34:44] Cuenta: 1000 | Operación: Retiro | Monto: 1.00 | Saldo final: 29948.00
[2025-05-19 18:40:41] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29949.00
[2025-05-19 18:42:48] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29950.00
[2025-05-19 18:43:01] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29951.00
[2025-05-19 18:43:35] Cuenta: 1000 | Operación: Retiro | Monto: 1.00 | Saldo final: 29950.00
[2025-05-19 18:43:49] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29951.00
[2025-05-19 18:44:06] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29952.00
[2025-05-19 18:44:23] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29953.00
[2025-05-19 18:44:37] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29954.00
[2025-05-19 18:45:13] Cuenta: 1000 | Operación: Retiro | Monto: 2.00 | Saldo final: 29952.00
[2025-05-19 18:45:29] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29953.00
[2025-05-19 18:45:58] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29954.00
[2025-05-19 18:46:35] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 29955.00
[2025-05-19 18:48:16] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7002.00
[2025-05-19 18:48:30] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7003.00
[2025-05-19 18:48:42] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7004.00
[2025-05-19 18:48:55] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7005.00
[2025-05-19 18:49:07] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7006.00
[2025-05-19 18:49:24] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7007.00
[2025-05-19 18:49:37] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7008.00
[2025-05-19 18:49:55] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 18:50:26] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:50:41] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 18:51:22] Cuenta: 1005 | Operación: Retiro | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:56:06] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7006.00
[2025-05-19 18:56:20] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7007.00
[2025-05-19 18:57:54] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7008.00
[2025-05-19 18:58:09] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 18:58:23] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:58:36] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 18:58:49] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 18:59:02] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 18:59:15] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 18:59:38] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:05:15] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 30955.00
[2025-05-19 19:05:29] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30956.00
[2025-05-19 19:05:46] Cuenta: 1000 | Operación: Depósito | Monto: 12.00 | Saldo final: 30968.00
[2025-05-19 19:05:57] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30969.00
[2025-05-19 19:06:08] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30970.00
[2025-05-19 19:06:18] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30971.00
[2025-05-19 19:06:28] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30972.00
[2025-05-19 19:06:41] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30973.00
[2025-05-19 19:06:52] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30974.00
[2025-05-19 19:08:57] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 19:09:11] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 19:09:46] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 19:09:58] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 19:10:13] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 19:10:28] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 19:10:38] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:10:56] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7016.00
[2025-05-19 19:13:27] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 19:13:40] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 19:13:51] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 19:14:01] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 19:14:13] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 19:14:24] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:14:39] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7016.00
[2025-05-19 19:14:52] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7017.00
[2025-05-19 19:15:03] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7018.00
[2025-05-19 19:15:16] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:15:30] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7020.00
[2025-05-19 19:20:49] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:20:49] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 1.00 | Saldo final: 18437.00
[2025-05-19 19:34:16] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 1.00 | Saldo final: 7018.00
[2025-05-19 19:34:16] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 1.00 | Saldo final: 30957.00
[2025-05-19 19:34:29] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:36:26] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30958.00
[2025-05-19 19:36:37] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30959.00
[2025-05-19 19:36:50] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30960.00
[2025-05-19 19:37:50] Cuenta: 1005 | Operación: Depósito | Monto: 1.00 | Saldo final: 7020.00
[2025-05-19 19:38:10] Cuenta: 1001 | Operación: Depósito | Monto: 1.00 | Saldo final: 18438.00
[2025-05-19 19:38:21] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 30961.00
