
[2025-04-23 11:01:37] | Operación: Main | Descripcion: Banco iniciado
[2025-04-26 18:20:13] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-26 18:20:13] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-26 18:37:07] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-26 18:38:48] | Operación: Main | Descripcion: Banco iniciado
[2025-04-26 18:38:48] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-26 18:38:51] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-26 18:38:56] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-26 18:38:56] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-26 18:38:56] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 16:59:54] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 16:59:54] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 16:59:57] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:00:02] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 17:00:02] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 17:00:02] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:00:27] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-04-27 17:00:35] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:00:40] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:00:40] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:00:43] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:00:47] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 17:00:47] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 17:00:47] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:00:48] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:02:48] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:02:53] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:03:05] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:03:22] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:03:31] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:03:31] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:03:34] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:03:40] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:03:58] Cuenta: 1002 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:04:05] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 17:04:05] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 17:04:05] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:05:25] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:15:27] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:15:27] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:15:30] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:19:13] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:19:24] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:19:24] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:19:27] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:23:40] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:23:47] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:23:47] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:23:50] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:24:04] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:25:27] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:27:44] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:27:44] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:27:49] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:27:58] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 17:27:58] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 17:27:58] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:28:01] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:28:14] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:29:33] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:31:50] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:31:50] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:31:53] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:32:06] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:32:28] Cuenta: 1004 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:35:58] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:36:18] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:36:18] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:36:21] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:36:32] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 17:36:32] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 17:36:32] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-27 17:36:37] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:36:47] Cuenta: 1001 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-27 17:36:55] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:37:03] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:37:03] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:37:06] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:45:03] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:45:13] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:45:13] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:45:16] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 17:46:07] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 17:46:17] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 17:46:17] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 17:46:20] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 18:17:58] | Operación: Main | Descripcion: Cerrando terminales
[2025-04-27 18:24:41] | Operación: Main | Descripcion: Banco iniciado
[2025-04-27 18:24:41] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-27 18:24:44] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-27 18:24:57] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-27 18:24:57] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-04-27 18:24:57] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-15 17:32:30] | Operación: Main | Descripcion: Banco iniciado
[2025-05-15 17:32:30] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-15 17:32:34] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:08:11] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-15 18:08:19] | Operación: Main | Descripcion: Banco iniciado
[2025-05-15 18:08:19] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-15 18:08:21] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:08:28] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-15 18:08:28] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-15 18:08:28] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-15 18:08:32] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-15 18:08:52] | Operación: Main | Descripcion: Banco iniciado
[2025-05-15 18:08:52] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-15 18:09:20] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:09:28] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-15 18:09:28] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-15 18:09:28] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-15 18:09:31] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-15 18:09:40] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:09:59] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-15 18:10:04] | Operación: Main | Descripcion: Banco iniciado
[2025-05-15 18:10:04] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-15 18:10:12] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:12:56] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-15 18:29:03] | Operación: Main | Descripcion: Banco iniciado
[2025-05-15 18:29:03] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-15 18:29:07] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-15 18:29:16] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-15 18:29:16] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-15 18:29:16] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-15 18:31:11] Cuenta: 1001 | Operación: Retiro | Descripcion: Retiro rechazado por fondos insuficientes
[2025-05-15 18:33:46] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:17:27] | Operación: Main | Descripcion: Banco iniciado
[2025-05-16 14:17:27] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-16 14:17:42] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:17:51] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:17:58] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:17:58] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:17:58] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:18:06] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:18:06] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:18:06] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:18:18] Cuenta: 1000 | Operación: Transferencia | Descripcion: Transferencia realizada
[2025-05-16 14:18:25] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:18:58] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:19:04] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:19:40] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-16 14:30:28] | Operación: Main | Descripcion: Banco iniciado
[2025-05-16 14:30:28] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-16 14:30:31] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:30:35] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:30:42] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:30:42] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:30:42] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:30:51] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:30:51] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:30:51] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:31:03] Cuenta: 1001 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-16 14:31:03] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-16 14:31:13] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:31:19] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:31:33] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-16 14:46:28] | Operación: Main | Descripcion: Banco iniciado
[2025-05-16 14:46:28] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-16 14:46:37] | Operación: Main | Descripcion: Banco iniciado
[2025-05-16 14:46:37] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-16 14:46:44] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:46:48] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:47:00] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:47:00] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:47:00] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:47:07] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:47:07] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:47:07] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:47:14] Cuenta: 1000 | Operación: Consulta | Descripcion: Cuenta no encontrada al consultar saldo
[2025-05-16 14:47:22] Cuenta: 1000 | Operación: Consulta | Descripcion: Cuenta no encontrada al consultar saldo
[2025-05-16 14:47:38] Cuenta: 1001 | Operación: Consulta | Descripcion: Cuenta no encontrada al consultar saldo
[2025-05-16 14:47:40] Cuenta: 1001 | Operación: Consulta | Descripcion: Cuenta no encontrada al consultar saldo
[2025-05-16 14:47:41] Cuenta: 1001 | Operación: Consulta | Descripcion: Cuenta no encontrada al consultar saldo
[2025-05-16 14:48:47] | Operación: Main | Descripcion: Banco iniciado
[2025-05-16 14:48:47] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-16 14:48:51] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:48:55] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-16 14:49:09] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:49:09] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:49:09] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:49:16] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-05-16 14:49:16] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-05-16 14:49:16] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-05-16 14:49:21] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-16 14:52:40] Cuenta: 1000 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-16 14:52:44] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-16 14:52:57] Cuenta: 1000 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-16 14:52:57] Cuenta: 1001 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-16 14:53:01] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-16 14:53:04] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-16 18:24:59] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-17 08:59:14] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 08:59:14] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 08:59:30] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 08:59:30] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 08:59:44] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 08:59:44] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 08:59:49] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:06:37] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:06:37] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:06:43] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:06:43] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:06:50] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 09:07:53] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:08:05] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:08:05] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:08:11] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:08:11] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:09:14] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:09:28] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 09:09:35] Cuenta: 1000 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-17 09:09:41] Cuenta: 1000 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-17 09:09:41] Cuenta: 1001 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-17 09:09:46] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 09:09:59] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:10:05] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:10:05] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:10:14] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-17 09:10:19] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:10:19] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:10:26] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:10:31] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:10:34] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:10:36] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:10:40] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:10:40] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:10:48] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:10:48] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:10:57] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:11:24] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:31:35] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:31:35] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:31:41] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:31:41] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:31:45] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:31:50] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:31:56] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 09:40:44] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 09:40:44] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 09:40:56] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:40:56] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:41:06] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 09:41:19] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 09:41:19] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 09:41:41] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-17 12:22:59] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:23:00] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:23:58] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:23:58] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:24:07] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:24:07] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:25:06] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:26:30] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:26:30] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:26:43] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:26:43] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:26:50] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:42:20] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:42:20] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:42:42] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:42:42] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:43:02] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-17 12:43:08] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:43:08] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:43:16] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:44:03] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:44:03] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:44:09] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:44:09] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:44:43] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-17 12:44:45] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-17 12:44:47] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-17 12:45:26] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:45:26] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:45:35] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:45:35] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:45:46] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:45:46] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:45:52] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:46:01] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:46:01] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:46:08] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:46:08] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:46:59] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:48:48] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:48:48] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:48:54] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:48:54] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:49:09] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-17 12:49:22] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:49:28] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:49:28] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:49:38] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:49:38] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:49:46] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-17 12:49:58] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-17 12:50:00] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 12:50:09] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:53:35] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:53:35] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:53:35] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 12:53:46] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:53:46] | Operación: Main | Descripcion: Abriendo terminal
