[2025-05-18 16:19:21] | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-19 18:26:24] | Operación: Retiro | Monto: 5.00 | Saldo final: 5995.00
[2025-05-19 18:27:55] | Operación: Deposito | Monto: 1000.00 | Saldo final: 6995.00
[2025-05-19 18:28:15] | Operación: Deposito | Monto: 1.00 | Saldo final: 6996.00
[2025-05-19 18:29:31] | Operación: Deposito | Monto: 1.00 | Saldo final: 6997.00
[2025-05-19 18:30:03] | Operación: Deposito | Monto: 1.00 | Saldo final: 6998.00
[2025-05-19 18:30:42] | Operación: Deposito | Monto: 1.00 | Saldo final: 6999.00
[2025-05-19 18:31:08] | Operación: Deposito | Monto: 1.00 | Saldo final: 7000.00
[2025-05-19 18:31:48] | Operación: Deposito | Monto: 1.00 | Saldo final: 7001.00
[2025-05-19 18:48:16] | Operación: Deposito | Monto: 1.00 | Saldo final: 7002.00
[2025-05-19 18:48:30] | Operación: Deposito | Monto: 1.00 | Saldo final: 7003.00
[2025-05-19 18:48:42] | Operación: Deposito | Monto: 1.00 | Saldo final: 7004.00
[2025-05-19 18:48:55] | Operación: Deposito | Monto: 1.00 | Saldo final: 7005.00
[2025-05-19 18:49:07] | Operación: Deposito | Monto: 1.00 | Saldo final: 7006.00
[2025-05-19 18:49:24] | Operación: Deposito | Monto: 1.00 | Saldo final: 7007.00
[2025-05-19 18:49:37] | Operación: Deposito | Monto: 1.00 | Saldo final: 7008.00
[2025-05-19 18:49:55] | Operación: Deposito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 18:50:26] | Operación: Deposito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:50:41] | Operación: Deposito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 18:51:22] | Operación: Retiro | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:56:06] | Operación: Deposito | Monto: 1.00 | Saldo final: 7006.00
[2025-05-19 18:56:20] | Operación: Deposito | Monto: 1.00 | Saldo final: 7007.00
[2025-05-19 18:57:54] | Operación: Deposito | Monto: 1.00 | Saldo final: 7008.00
[2025-05-19 18:58:09] | Operación: Deposito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 18:58:23] | Operación: Deposito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 18:58:36] | Operación: Deposito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 18:58:49] | Operación: Deposito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 18:59:02] | Operación: Deposito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 18:59:15] | Operación: Deposito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 18:59:38] | Operación: Deposito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:08:57] | Operación: Deposito | Monto: 1.00 | Saldo final: 7009.00
[2025-05-19 19:09:11] | Operación: Deposito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 19:09:46] | Operación: Deposito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 19:09:58] | Operación: Deposito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 19:10:13] | Operación: Deposito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 19:10:28] | Operación: Deposito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 19:10:38] | Operación: Deposito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:10:56] | Operación: Deposito | Monto: 1.00 | Saldo final: 7016.00
[2025-05-19 19:13:27] | Operación: Deposito | Monto: 1.00 | Saldo final: 7010.00
[2025-05-19 19:13:40] | Operación: Deposito | Monto: 1.00 | Saldo final: 7011.00
[2025-05-19 19:13:51] | Operación: Deposito | Monto: 1.00 | Saldo final: 7012.00
[2025-05-19 19:14:01] | Operación: Deposito | Monto: 1.00 | Saldo final: 7013.00
[2025-05-19 19:14:13] | Operación: Deposito | Monto: 1.00 | Saldo final: 7014.00
[2025-05-19 19:14:24] | Operación: Deposito | Monto: 1.00 | Saldo final: 7015.00
[2025-05-19 19:14:39] | Operación: Deposito | Monto: 1.00 | Saldo final: 7016.00
[2025-05-19 19:14:52] | Operación: Deposito | Monto: 1.00 | Saldo final: 7017.00
[2025-05-19 19:15:03] | Operación: Deposito | Monto: 1.00 | Saldo final: 7018.00
[2025-05-19 19:15:16] | Operación: Deposito | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:15:30] | Operación: Deposito | Monto: 1.00 | Saldo final: 7020.00
[2025-05-19 19:20:49] | Operación: Transferencia enviada | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:34:16] | Operación: Transferencia enviada | Monto: 1.00 | Saldo final: 7018.00
[2025-05-19 19:34:29] | Operación: Deposito | Monto: 1.00 | Saldo final: 7019.00
[2025-05-19 19:37:50] | Operación: Deposito | Monto: 1.00 | Saldo final: 7020.00
